<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TRUR;D;230911;000000;7.33;7.35;7.24;7.26;398664226
TRUR;D;230912;000000;7.22;7.3;7.21;7.29;252064986
TRUR;D;230913;000000;7.3;7.38;7.29;7.33;212631283
TRUR;D;230914;000000;7.33;7.34;7.24;7.3;287120320
TRUR;D;230915;000000;7.3;7.36;7.29;7.36;228723742
TRUR;D;230918;000000;7.37;7.4;7.33;7.35;273300646
TRUR;D;230919;000000;7.33;7.35;7.26;7.29;224900035
TRUR;D;230920;000000;7.28;7.29;7.23;7.26;226599761
TRUR;D;230921;000000;7.24;7.25;7.17;7.17;240151738
TRUR;D;230922;000000;7.19;7.23;7.16;7.23;222174601
TRUR;D;230925;000000;7.22;7.24;7.2;7.24;263861648
TRUR;D;230926;000000;7.21;7.23;7.19;7.22;139048816
TRUR;D;230927;000000;7.22;7.23;7.17;7.18;186202822
TRUR;D;230928;000000;7.19;7.22;7.18;7.18;144231684
TRUR;D;230929;000000;7.2;7.24;7.19;7.22;242868406
TRUR;D;231002;000000;7.23;7.25;7.21;7.23;237040632
TRUR;D;231003;000000;7.22;7.23;7.2;7.22;158104527
TRUR;D;231004;000000;7.22;7.23;7.2;7.22;152019771
TRUR;D;231005;000000;7.21;7.22;7.19;7.21;155521598
TRUR;D;231006;000000;7.22;7.23;7.19;7.23;163741227
TRUR;D;231009;000000;7.26;7.34;7.25;7.27;261961955
TRUR;D;231010;000000;7.27;7.31;7.26;7.31;140048094
TRUR;D;231011;000000;7.31;7.33;7.29;7.31;170798906
TRUR;D;231012;000000;7.23;7.28;7.22;7.26;190924933
TRUR;D;231013;000000;7.26;7.31;7.26;7.3;185982770
TRUR;D;231016;000000;7.31;7.38;7.31;7.37;241396867
TRUR;D;231017;000000;7.36;7.39;7.36;7.39;160458905
TRUR;D;231018;000000;7.38;7.4;7.35;7.38;251100869
TRUR;D;231019;000000;7.36;7.38;7.35;7.36;139653040
TRUR;D;231020;000000;7.37;7.39;7.36;7.38;189964676
TRUR;D;231023;000000;7.37;7.41;7.37;7.39;233416330
TRUR;D;231024;000000;7.37;7.38;7.35;7.35;88797828
TRUR;D;231025;000000;7.35;7.36;7.32;7.34;173452813
TRUR;D;231026;000000;7.35;7.38;7.32;7.33;164953466
TRUR;D;231027;000000;7.34;7.35;7.28;7.3;196811591
TRUR;D;231030;000000;7.31;7.34;7.29;7.31;212804192
TRUR;D;231031;000000;7.28;7.29;7.25;7.29;179424771
TRUR;D;231101;000000;7.26;7.29;7.26;7.27;103239745
TRUR;D;231102;000000;7.27;7.32;7.27;7.3;207598977
TRUR;D;231103;000000;7.31;7.34;7.3;7.33;183980092
TRUR;D;231106;000000;7.34;7.41;7.34;7.38;275531970
TRUR;D;231107;000000;7.38;7.39;7.34;7.34;205034292
TRUR;D;231108;000000;7.34;7.36;7.32;7.34;128500368
TRUR;D;231109;000000;7.31;7.35;7.31;7.35;183391915
TRUR;D;231110;000000;7.34;7.4;7.34;7.39;184603491
TRUR;D;231113;000000;7.39;7.4;7.37;7.38;227984748
TRUR;D;231114;000000;7.38;7.38;7.32;7.34;177542726
TRUR;D;231115;000000;7.33;7.35;7.32;7.34;145542289
TRUR;D;231116;000000;7.33;7.35;7.31;7.33;119343138
TRUR;D;231117;000000;7.31;7.33;7.29;7.32;149924589
TRUR;D;231120;000000;7.33;7.34;7.31;7.33;216153067
TRUR;D;231121;000000;7.31;7.35;7.3;7.34;133460195
TRUR;D;231122;000000;7.33;7.36;7.33;7.35;105351632
TRUR;D;231123;000000;7.34;7.36;7.34;7.35;104184202
TRUR;D;231124;000000;7.35;7.37;7.34;7.35;129641516
TRUR;D;231127;000000;7.36;7.37;7.34;7.35;195866455
TRUR;D;231128;000000;7.35;7.37;7.33;7.37;145402670
TRUR;D;231129;000000;7.36;7.38;7.35;7.35;162866594
TRUR;D;231130;000000;7.35;7.38;7.34;7.38;177010233
TRUR;D;231201;000000;7.37;7.4;7.36;7.38;189116549
TRUR;D;231204;000000;7.4;7.4;7.35;7.36;216229162
TRUR;D;231205;000000;7.36;7.38;7.34;7.37;143657090
TRUR;D;231206;000000;7.37;7.39;7.33;7.35;166027497
TRUR;D;231207;000000;7.33;7.34;7.31;7.32;127860424
TRUR;D;231208;000000;7.31;7.33;7.26;7.28;173037804
TRUR;D;231211;000000;7.27;7.29;7.2;7.22;310555387
TRUR;D;231212;000000;7.21;7.23;7.18;7.2;193927666
